,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
4215,Chalet,Entire home/apt,Real Bed,1,30,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,4,1.0,4.0,32,1.0,401,70,2
4216,Other,Private room,Real Bed,1,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,2.0,0,1.0,211,0,1
4217,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,10,4.0,5.0,0,1.0,200,20,4
4218,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,4,1.0,3.0,1,1.0,50,20,1
4219,Boutique hotel,Private room,Real Bed,1,30,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,16,1.0,1.0,0,1.0,121,50,1
4220,House,Private room,Real Bed,7,180,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,2,1.0,50,0,1
4221,Apartment,Private room,Real Bed,1,7,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,2.0,0,1.0,100,0,1
4222,Apartment,Entire home/apt,Real Bed,31,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,5,3.0,4.0,0,1.0,40,0,1
4223,Farm stay,Private room,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,3,1.0,3.0,0,1.0,2496,0,1
4224,Apartment,Entire home/apt,Real Bed,2,15,flexible,2019-02-16 05:00:00,2019-02-16 05:00:00,4,2.0,3.0,0,1.0,75,0,1
4225,Serviced apartment,Entire home/apt,Real Bed,1,99,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,3,0.0,2.0,0,1.0,161,0,3
4226,Apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,0,1.0,32,0,1
4227,Apartment,Private room,Real Bed,29,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,1,0.0,1.0,0,1.0,353,0,1
4228,Apartment,Private room,Real Bed,2,15,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,3,1.0,2.0,0,1.0,59,12,1
4229,Boutique hotel,Private room,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,385,0,1
4230,Townhouse,Entire home/apt,Real Bed,1,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,10,3.0,4.0,1,3.0,299,0,1
4231,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,6,2.0,3.0,0,1.0,903,0,1
4232,House,Private room,Real Bed,2,30,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,1,1.0,1.0,0,1.0,149,0,1
4233,Guesthouse,Entire home/apt,Real Bed,1,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,6,1.0,3.0,115,1.0,165,10,2
4234,Cottage,Entire home/apt,Real Bed,1,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,16,6.0,11.0,1,6.0,450,20,12
4235,Apartment,Private room,Real Bed,14,180,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,4,2.0,2.0,0,1.0,16,0,1
4236,Apartment,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,44,1.0,70,0,2
4237,Apartment,Entire home/apt,Real Bed,21,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,6,1.0,5.0,0,1.0,290,0,1
4238,Apartment,Entire home/apt,Real Bed,1250,1250,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,3,1.0,1.0,2,1.0,180,0,1
4239,Apartment,Entire home/apt,Real Bed,2,100,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,4,1.0,1.0,0,1.0,475,89,2
4240,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,1.0,35,1.0,119,50,2
4241,Apartment,Private room,Real Bed,1,30,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,0.0,1.0,4,1.0,55,10,1
4242,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,1,1.0,1.0,0,1.0,179,0,1
4243,Apartment,Entire home/apt,Real Bed,2,90,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,1,1.0,138,75,2
4244,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,2.0,6,1.0,25,0,1
4245,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,3,0.0,2.0,8,1.0,879,0,1
4246,Apartment,Private room,Real Bed,10,56,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,0,1.0,23,7,1
4247,Condominium,Entire home/apt,Real Bed,2,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,8,3.0,3.0,0,2.0,1999,0,1
4248,Tiny house,Entire home/apt,Real Bed,1,5,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,1.0,0,1.0,127,0,1
4249,Apartment,Private room,Real Bed,2,28,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,0,1.0,142,0,2
4250,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,12,6.0,10.0,1,4.0,600,0,1
